transaction_id,transaction_date,product_id,product_name,quantity,unit_price,item_total
VRT20260901-001,2026-09-01 10:12:00,VRP001,Basmati Rice 1kg,2,125.0,250.0
VRT20260901-001,2026-09-01 10:12:00,VRP012,Full Cream Milk 1L,2,68.0,136.0
VRT20260901-002,2026-09-01 11:05:00,VRP017,Salted Biscuits 200g,3,35.0,105.0
VRT20260901-002,2026-09-01 11:05:00,VRP008,Cola 750ml,2,45.0,90.0
VRT20260901-003,2026-09-01 13:18:00,VRP023,Shampoo 180ml,1,135.0,135.0
VRT20260901-003,2026-09-01 13:18:00,VRP024,Toothpaste 150g,2,92.0,184.0
VRT20260902-001,2026-09-02 09:42:00,VRP002,Wheat Flour 5kg,1,245.0,245.0
VRT20260902-001,2026-09-02 09:42:00,VRP005,Cooking Oil 1L,2,148.0,296.0
VRT20260902-002,2026-09-02 12:15:00,VRP009,Mineral Water 1L,4,22.0,88.0
VRT20260902-002,2026-09-02 12:15:00,VRP018,Potato Chips 90g,3,40.0,120.0
VRT20260902-003,2026-09-02 17:20:00,VRP013,Curd 400g,2,42.0,84.0
VRT20260902-003,2026-09-02 17:20:00,VRP014,Butter 100g,1,62.0,62.0
VRT20260903-001,2026-09-03 10:30:00,VRP003,Sugar 1kg,2,52.0,104.0
VRT20260903-001,2026-09-03 10:30:00,VRP004,Toor Dal 1kg,1,165.0,165.0
VRT20260903-002,2026-09-03 14:08:00,VRP019,Instant Noodles Pack,5,18.0,90.0
VRT20260903-002,2026-09-03 14:08:00,VRP020,Tomato Ketchup 500g,1,105.0,105.0
VRT20260903-003,2026-09-03 18:37:00,VRP022,Bath Soap 125g,3,38.0,114.0
VRT20260903-003,2026-09-03 18:37:00,VRP025,Handwash 250ml,1,85.0,85.0
VRT20260904-001,2026-09-04 09:55:00,VRP006,Iodized Salt 1kg,2,28.0,56.0
VRT20260904-001,2026-09-04 09:55:00,VRP028,Dishwash Liquid 500ml,1,99.0,99.0
VRT20260904-002,2026-09-04 15:10:00,VRP007,Orange Juice 1L,2,110.0,220.0
VRT20260904-002,2026-09-04 15:10:00,VRP030,Garbage Bags Pack,1,70.0,70.0
VRT20260904-003,2026-09-04 19:25:00,VRP011,Green Tea 25 Bags,1,140.0,140.0
VRT20260904-003,2026-09-04 19:25:00,VRP026,Face Wash 100ml,1,160.0,160.0
